state,US_UP_2020,Ruggeri_US_size,size,size1,Ruggeri_US
Alabama ,0.577,5,369,100,0.013550136
Alaska ,0.649,1,369,100,0.002710027
Arizona ,0.893,4,369,100,0.010840108
Arkansas ,0.555,0,369,100,0
California,0.942,14,369,100,0.037940379
Colorado,0.86,5,369,100,0.013550136
Connecticut,0.863,2,369,100,0.005420054
Delaware,0.826,0,369,100,0
District of Columbia ,1,61,369,100,0.165311653
Florida ,0.915,41,369,100,0.111111111
Georgia ,0.741,0,369,100,0
Hawaii ,0.861,0,369,100,0
Idaho ,0.692,1,369,100,0.002710027
Illinois,0.869,9,369,100,0.024390244
Indiana ,0.712,2,369,100,0.005420054
Iowa ,0.632,2,369,100,0.005420054
Kansas ,0.723,2,369,100,0.005420054
Kentucky ,0.587,1,369,100,0.002710027
Louisiana ,0.715,0,369,100,0
Maine ,0.386,21,369,100,0.056910569
Maryland ,0.856,5,369,100,0.013550136
Massachusetts ,0.913,5,369,100,0.013550136
Michigan ,0.735,1,369,100,0.002710027
Minnesota ,0.719,4,369,100,0.010840108
Mississippi ,0.463,1,369,100,0.002710027
Missouri,0.695,1,369,100,0.002710027
Montana ,0.534,0,369,100,0
Nebraska ,0.73,2,369,100,0.005420054
Nevada ,0.941,0,369,100,0
New Hampshire ,0.583,1,369,100,0.002710027
New Jersey ,0.938,11,369,100,0.029810298
New Mexico ,0.745,1,369,100,0.002710027
New York ,0.874,45,369,100,0.12195122
North Carolina ,0.667,14,369,100,0.037940379
North Dakota ,0.61,0,369,100,0
Ohio ,0.763,4,369,100,0.010840108
Oklahoma ,0.646,2,369,100,0.005420054
Oregon ,0.805,0,369,100,0
Pennsylvania ,0.765,6,369,100,0.016260163
Rhode Island ,0.911,2,369,100,0.005420054
South Carolina ,0.679,2,369,100,0.005420054
South Dakota ,0.572,0,369,100,0
Tennessee ,0.662,3,369,100,0.008130081
Texas ,0.837,12,369,100,0.032520325
Utah  ,0.898,24,369,100,0.06504065
Vermont ,0.351,23,369,100,0.062330623
Virginia,0.756,18,369,100,0.048780488
Washington ,0.834,6,369,100,0.016260163
West Virginia ,0.446,0,369,100,0
Wisconsin ,0.671,5,369,100,0.013550136
Wyoming ,0.919,0,369,100,0
