country_map,Network_2021,continent,n,percentage_sample,ps2014
AO,0.326023017,Africa,NA,0,0
AL,0.7932,Europe,NA,0,0.000216
AD,0.938975216,Europe,NA,0,0.000216
AE,1,Asia,80,0.006968034,0
AR,0.871507068,South America,91,0.007926139,0
AG,0.956633895,North America,NA,0,0
AU,0.9624,Oceania,885,0.077083878,0
AT,0.92529151,Europe,236,0.020555701,0.000216
AZ,0.86,Asia,NA,0,0
BI,0.058049216,Africa,NA,0,0
BE,0.9279,Europe,86,0.007490637,0.000819
BJ,0.339653309,Africa,NA,0,0
BF,0.215798273,Africa,NA,0,0
BD,0.389174447,Asia,NA,0,0
BG,0.752714458,Europe,NA,0,0.000216
BH,1,Asia,NA,0,0
BS,0.942938073,North America,NA,0,0
BA,0.756762014,Europe,NA,0,0.000216
BY,0.8689,Europe,NA,0,0.000216
BZ,0.619941698,North America,NA,0,0
BO,0.659773785,South America,NA,0,0
BR,0.8069,South America,201,0.017507186,0
BB,0.8582,North America,NA,0,0
BN,0.9808,Asia,NA,0,0
BT,0.856368839,Asia,NA,0,0
BW,0.735,Africa,NA,0,0
CF,0.105826396,Africa,NA,0,0
CA,0.928340166,North America,630,0.054873269,0
CH,0.9557,Europe,109,0.009493947,0.000354
CL,0.901933688,South America,430,0.037453184,0
CN,0.7305,Asia,316,0.027523735,0
CI,0.454255327,Africa,NA,0,0
CM,0.456021739,Africa,NA,0,0
CD,0.229015849,Africa,NA,0,0
CO,0.730283745,South America,446,0.03884679,0
KM,0.273369432,Africa,NA,0,0
CV,0.697622565,Africa,NA,0,0
CR,0.8275,North America,NA,0,0
CU,0.711190751,North America,NA,0,0
CY,0.907595156,Asia,NA,0,0
CZ,0.826706243,Europe,NA,0,0.000216
DE,0.914306097,Europe,266,0.023168714,0.001257
DJ,0.688631845,Africa,NA,0,0
DM,0.809330051,North America,NA,0,0
DK,0.988658506,Europe,92,0.008013239,0.000216
DO,0.852429864,North America,NA,0,0
DZ,0.7077,Africa,NA,0,0
EC,0.762028977,South America,105,0.009145545,0
EG,0.7206,Africa,NA,0,0
ER,0.217303863,Africa,NA,0,0
ES,0.939,Europe,270,0.023517115,0.000216
EE,0.9104,Europe,NA,0,0.000216
ET,0.166981031,Africa,NA,0,0
FI,0.928080608,Europe,46,0.00400662,0.000216
FJ,0.876599665,Oceania,NA,0,0
FR,0.860954858,Europe,211,0.01837819,0.000216
FM,0.404096194,Oceania,NA,0,0
GA,0.717494064,Africa,NA,0,0
GB,0.966802366,Europe,361,0.031443254,0.003164
GE,0.764427146,Asia,NA,0,0
GH,0.682,Africa,NA,0,0
GN,0.346801239,Africa,NA,0,0
GM,0.329622897,Africa,NA,0,0
GW,0.351549874,Africa,NA,0,0
GQ,0.539224022,Africa,NA,0,0
GR,0.784942637,Europe,99,0.008622942,0.000216
GD,0.777672366,North America,NA,0,0
GT,0.508416495,North America,NA,0,0
GY,0.847935727,South America,NA,0,0
HK,0.9309,Asia,NA,0,0
HN,0.480835186,North America,NA,0,0
HR,0.812539661,Europe,NA,0,0.000216
HT,0.389450183,North America,NA,0,0
HU,0.886408347,Europe,174,0.015155474,0.000216
ID,0.621,Asia,NA,0,0
IN,0.4631,Asia,NA,0,0
IE,0.951695667,Europe,NA,0,0.000216
IR,0.786,Asia,48,0.00418082,0
IQ,0.489171872,Asia,NA,0,0
IS,0.996870196,Europe,NA,0,0.000216
IL,0.903,Asia,NA,0,0
IT,0.748623274,Europe,153,0.013326365,0.000216
JM,0.8236,North America,NA,0,0
JO,0.827555841,Asia,NA,0,0
JP,0.829140793,Asia,NA,0,0
KZ,0.9092,Asia,NA,0,0
KE,0.28757528,Africa,347,0.030223848,0
KG,0.779203593,Asia,NA,0,0
KH,0.601524023,Asia,NA,0,0
KI,0.536270365,Oceania,NA,0,0
KN,0.794730677,North America,NA,0,0
KR,0.97571327,Asia,NA,0,0
KW,0.997,Asia,NA,0,0
LA,0.62,Asia,NA,0,0
LB,0.865890305,Asia,NA,0,0
LR,0.336331591,Africa,NA,0,0
LC,0.780956033,North America,NA,0,0
LI,0.955693764,Europe,NA,0,0.000216
LK,0.666815167,Asia,NA,0,0
LS,0.479829987,Africa,NA,0,0
LT,0.86930558,Europe,NA,0,0.000216
LU,0.9866,Europe,NA,0,0.000216
LV,0.911796499,Europe,NA,0,0.000216
MO,0.884681049,Asia,NA,0,0
MA,0.881303194,Africa,NA,0,0
MC,0.860954858,Europe,NA,0,0.000216
MD,0.612877616,Europe,NA,0,0.000216
MG,0.197301681,Africa,NA,0,0
MV,0.857605826,Asia,NA,0,0
MX,0.756265048,North America,249,0.021688006,0
MK,0.830182103,Europe,NA,0,0.000216
ML,0.3449,Africa,NA,0,0
MT,0.874697743,Europe,NA,0,0.000216
MM,0.440216732,Asia,NA,0,0
ME,0.822196975,Europe,NA,0,0.000216
MN,0.8433,Asia,NA,0,0
MZ,0.173728368,Africa,NA,0,0
MR,0.587581898,Africa,NA,0,0
MU,0.6758,Africa,NA,0,0
MW,0.244056006,Africa,NA,0,0
MY,0.967514278,Asia,281,0.02447522,0
NA,0.529734788,Africa,NA,0,0
NE,0.223861393,Africa,NA,0,0
NG,0.553637135,Africa,43,0.003745318,0
NI,0.571468494,North America,NA,0,0
NL,0.920529801,Europe,356,0.031007752,0.000216
NO,0.99,Europe,363,0.031617455,0.000216
NP,0.516313577,Asia,NA,0,0
NR,0.839352159,Oceania,NA,0,0
NZ,0.959102027,Oceania,159,0.013848968,0
OM,0.96380075,Asia,NA,0,0
PK,0.210372074,Asia,NA,0,0
PA,0.67509728,North America,NA,0,0
PE,0.711078253,South America,115,0.010016549,0
PH,0.526757381,Asia,NA,0,0
PG,0.320541629,Oceania,NA,0,0
PL,0.853749074,Europe,36,0.003135615,0.000216
PT,0.82309028,Europe,NA,0,0.000216
PY,0.770183862,South America,NA,0,0
QA,1,Asia,NA,0,0
RO,0.835904265,Europe,27,0.002351712,0.000216
RU,0.882138457,Europe,240,0.020904102,0.000216
RW,0.304618169,Africa,NA,0,0
SA,1,Asia,NA,0,0
SN,0.580548191,Africa,NA,0,0
SG,0.910993779,Asia,NA,0,0
SB,0.36131954,Oceania,NA,0,0
SV,0.628802872,North America,89,0.007751938,0
SM,0.748623274,Europe,NA,0,0.000216
RS,0.81165877,Europe,69,0.006009929,0.000216
ST,0.512040916,Africa,NA,0,0
SR,0.659398014,South America,NA,0,0
SK,0.889256052,Europe,263,0.022907412,0.000216
SI,0.890039952,Europe,NA,0,0.000216
SE,0.883077859,Europe,152,0.013239265,0.000216
SZ,0.589129157,Eswatini,NA,0,0
SC,0.815930719,Africa,NA,0,0
TD,0.178688792,Africa,NA,0,0
TG,0.349840553,Africa,NA,0,0
TH,0.8527,Asia,183,0.015939378,0
TL,0.394513124,Asia,NA,0,0
TO,0.715865796,Oceania,NA,0,0
TT,0.79,North America,NA,0,0
TN,0.789896515,Africa,NA,0,0
TR,0.8141,Asia,286,0.024910722,0
TV,0.715865796,Oceania,NA,0,0
TZ,0.316331309,Africa,NA,0,0
UG,0.103424204,Africa,NA,0,0
UA,0.792182935,Europe,NA,0,0.000216
UY,0.900738409,South America,NA,0,0
US,0.917532083,North America,2682,0.233603345,0.952011
UZ,0.765904301,Asia,NA,0,0
VC,0.84912814,North America,NA,0,0
VN,0.742099999,Asia,NA,0,0
VU,0.663356687,Oceania,NA,0,0
WS,0.782457319,Oceania,NA,0,0
ZA,0.72310492,Africa,130,0.011323055,0.043042
ZM,0.212315313,Africa,NA,0,0
ZW,0.348139707,Africa,NA,0,0
