State,Internet_CN_2016,Ruggeri_CN,size,Ruggeri_CN_pro
Guizhou,0.432,1,387,0.002583979
Hainan,0.516,1,387,0.002583979
Jiangxi,0.446,1,387,0.002583979
Shaanxi,0.524,1,387,0.002583979
Tianjin,0.646,1,387,0.002583979
Anhui,0.443,2,387,0.005167959
Chongqing,0.516,2,387,0.005167959
Hebei,0.533,2,387,0.005167959
Yunnan,0.399,2,387,0.005167959
Fujian,0.697,3,387,0.007751938
Shandong,0.529,4,387,0.010335917
Hubei,0.514,5,387,0.012919897
Hunan,0.444,8,387,0.020671835
Beijing,0.778,9,387,0.023255814
Guangdong,0.74,15,387,0.03875969
Jiangshu,0.566,15,387,0.03875969
Henan,0.434,22,387,0.056847545
sichuan,0.436,41,387,0.105943152
Shanghai,0.741,65,387,0.167958656
zhejiang,0.656,85,387,0.219638243
Guangxi,0.461,102,387,0.263565891
Gansu,0.424,0,387,0
Heilongjiang,0.481,0,387,0
Jilin,0.509,0,387,0
Liaoning,0.626,0,387,0
Neimenggu,0.522,0,387,0
Ningxia,0.507,0,387,0
Qinghai,0.545,0,387,0
Shanxi,0.555,0,387,0
Xinjiang,0.549,0,387,0
Xizang,0.461,0,387,0
