country_map,Network_2021,continent,bts,total_bts,percentage_sample,ps,total_ps,ps2014
AD,93.8975216,Europe,0,11484,0,33,13646,0.002418291
AE,100,Asia,80,11484,0.006968034,0,13646,0
AG,95.6633895,North America,0,11484,0,0,13646,0
AL,79.32,Europe,0,11484,0,33,13646,0.002418291
AO,32.6023017,Africa,0,11484,0,0,13646,0
AR,87.1507068,South America,91,11484,0.007926139,0,13646,0
AT,92.529151,Europe,236,11484,0.020555701,33,13646,0.002418291
AU,96.24,Oceania,885,11484,0.077083878,0,13646,0
AZ,86,Asia,0,11484,0,0,13646,0
BA,75.6762014,Europe,0,11484,0,33,13646,0.002418291
BB,85.82,North America,0,11484,0,0,13646,0
BD,38.9174447,Asia,0,11484,0,0,13646,0
BE,92.79,Europe,86,11484,0.007490637,125,13646,0.009160193
BF,21.5798273,Africa,0,11484,0,0,13646,0
BG,75.2714458,Europe,0,11484,0,33,13646,0.002418291
BH,100,Asia,0,11484,0,0,13646,0
BI,5.8049216,Africa,0,11484,0,0,13646,0
BJ,33.9653309,Africa,0,11484,0,0,13646,0
BN,98.08,Asia,0,11484,0,0,13646,0
BO,65.9773785,South America,0,11484,0,0,13646,0
BR,80.69,South America,201,11484,0.017507186,0,13646,0
BS,94.2938073,North America,0,11484,0,0,13646,0
BT,85.6368839,Asia,0,11484,0,0,13646,0
BW,73.5,Africa,0,11484,0,0,13646,0
BY,86.89,Europe,0,11484,0,33,13646,0.002418291
BZ,61.9941698,North America,0,11484,0,0,13646,0
CA,92.8340166,North America,630,11484,0.054873269,0,13646,0
CD,22.9015849,Africa,0,11484,0,0,13646,0
CF,10.5826396,Africa,0,11484,0,0,13646,0
CH,95.57,Europe,109,11484,0.009493947,54,13646,0.003957204
CI,45.4255327,Africa,0,11484,0,0,13646,0
CL,90.1933688,South America,430,11484,0.037453184,0,13646,0
CM,45.6021739,Africa,0,11484,0,0,13646,0
CN,73.05,Asia,316,11484,0.027523735,0,13646,0
CO,73.0283745,South America,446,11484,0.03884679,0,13646,0
CR,82.75,North America,0,11484,0,0,13646,0
CU,71.1190751,North America,0,11484,0,0,13646,0
CV,69.7622565,Africa,0,11484,0,0,13646,0
CY,90.7595156,Asia,0,11484,0,0,13646,0
CZ,82.6706243,Europe,0,11484,0,33,13646,0.002418291
DE,91.4306097,Europe,266,11484,0.023168714,192,13646,0.014070057
DJ,68.8631845,Africa,0,11484,0,0,13646,0
DK,98.8658506,Europe,92,11484,0.008013239,33,13646,0.002418291
DM,80.9330051,North America,0,11484,0,0,13646,0
DO,85.2429864,North America,0,11484,0,0,13646,0
DZ,70.77,Africa,0,11484,0,0,13646,0
EC,76.2028977,South America,105,11484,0.009145545,0,13646,0
EE,91.04,Europe,0,11484,0,33,13646,0.002418291
EG,72.06,Africa,0,11484,0,0,13646,0
ER,21.7303863,Africa,0,11484,0,0,13646,0
ES,93.9,Europe,270,11484,0.023517115,33,13646,0.002418291
ET,16.6981031,Africa,0,11484,0,0,13646,0
FI,92.8080608,Europe,46,11484,0.00400662,33,13646,0.002418291
FJ,87.6599665,Oceania,0,11484,0,0,13646,0
FM,40.4096194,Oceania,0,11484,0,0,13646,0
FR,86.0954858,Europe,211,11484,0.01837819,33,13646,0.002418291
GA,71.7494064,Africa,0,11484,0,0,13646,0
GB,96.6802366,Europe,361,11484,0.031443254,483,13646,0.035394988
GD,77.7672366,North America,0,11484,0,0,13646,0
GE,76.4427146,Asia,0,11484,0,0,13646,0
GH,68.2,Africa,0,11484,0,0,13646,0
GM,32.9622897,Africa,0,11484,0,0,13646,0
GN,34.6801239,Africa,0,11484,0,0,13646,0
GQ,53.9224022,Africa,0,11484,0,0,13646,0
GR,78.4942637,Europe,99,11484,0.008622942,33,13646,0.002418291
GT,50.8416495,North America,0,11484,0,0,13646,0
GW,35.1549874,Africa,0,11484,0,0,13646,0
GY,84.7935727,South America,0,11484,0,0,13646,0
HK,93.09,Asia,0,11484,0,0,13646,0
HN,48.0835186,North America,0,11484,0,0,13646,0
HR,81.2539661,Europe,0,11484,0,33,13646,0.002418291
HT,38.9450183,North America,0,11484,0,0,13646,0
HU,88.6408347,Europe,174,11484,0.015155474,33,13646,0.002418291
ID,62.1,Asia,0,11484,0,0,13646,0
IE,95.1695667,Europe,0,11484,0,33,13646,0.002418291
IL,90.3,Asia,0,11484,0,0,13646,0
IN,46.31,Asia,0,11484,0,0,13646,0
IQ,48.9171872,Asia,0,11484,0,0,13646,0
IR,78.6,Asia,48,11484,0.00418082,0,13646,0
IS,99.6870196,Europe,0,11484,0,33,13646,0.002418291
IT,74.8623274,Europe,153,11484,0.013326365,33,13646,0.002418291
JM,82.36,North America,0,11484,0,0,13646,0
JO,82.7555841,Asia,0,11484,0,0,13646,0
JP,82.9140793,Asia,0,11484,0,0,13646,0
KE,28.757528,Africa,347,11484,0.030223848,0,13646,0
KG,77.9203593,Asia,0,11484,0,0,13646,0
KH,60.1524023,Asia,0,11484,0,0,13646,0
KI,53.6270365,Oceania,0,11484,0,0,13646,0
KM,27.3369432,Africa,0,11484,0,0,13646,0
KN,79.4730677,North America,0,11484,0,0,13646,0
KR,97.571327,Asia,0,11484,0,0,13646,0
KW,99.7,Asia,0,11484,0,0,13646,0
KZ,90.92,Asia,0,11484,0,0,13646,0
LA,62,Asia,0,11484,0,0,13646,0
LB,86.5890305,Asia,0,11484,0,0,13646,0
LC,78.0956033,North America,0,11484,0,0,13646,0
LI,95.5693764,Europe,0,11484,0,33,13646,0.002418291
LK,66.6815167,Asia,0,11484,0,0,13646,0
LR,33.6331591,Africa,0,11484,0,0,13646,0
LS,47.9829987,Africa,0,11484,0,0,13646,0
LT,86.930558,Europe,0,11484,0,33,13646,0.002418291
LU,98.66,Europe,0,11484,0,33,13646,0.002418291
LV,91.1796499,Europe,0,11484,0,33,13646,0.002418291
MA,88.1303194,Africa,0,11484,0,0,13646,0
MC,86.0954858,Europe,0,11484,0,33,13646,0.002418291
MD,61.2877616,Europe,0,11484,0,33,13646,0.002418291
ME,82.2196975,Europe,0,11484,0,33,13646,0.002418291
MG,19.7301681,Africa,0,11484,0,0,13646,0
MK,83.0182103,Europe,0,11484,0,33,13646,0.002418291
ML,34.49,Africa,0,11484,0,0,13646,0
MM,44.0216732,Asia,0,11484,0,0,13646,0
MN,84.33,Asia,0,11484,0,0,13646,0
MO,88.4681049,Asia,0,11484,0,0,13646,0
MR,58.7581898,Africa,0,11484,0,0,13646,0
MT,87.4697743,Europe,0,11484,0,33,13646,0.002418291
MU,67.58,Africa,0,11484,0,0,13646,0
MV,85.7605826,Asia,0,11484,0,0,13646,0
MW,24.4056006,Africa,0,11484,0,0,13646,0
MX,75.6265048,North America,249,11484,0.021688006,0,13646,0
MY,96.7514278,Asia,281,11484,0.02447522,0,13646,0
MZ,17.3728368,Africa,0,11484,0,0,13646,0
NA,52.9734788,Africa,0,11484,0,0,13646,0
NE,22.3861393,Africa,0,11484,0,0,13646,0
NG,55.3637135,Africa,43,11484,0.003745318,0,13646,0
NI,57.1468494,North America,0,11484,0,0,13646,0
NL,92.0529801,Europe,356,11484,0.031007752,33,13646,0.002418291
NO,99,Europe,363,11484,0.031617455,33,13646,0.002418291
NP,51.6313577,Asia,0,11484,0,0,13646,0
NR,83.9352159,Oceania,0,11484,0,0,13646,0
NZ,95.9102027,Oceania,159,11484,0.013848968,0,13646,0
OM,96.380075,Asia,0,11484,0,0,13646,0
PA,67.509728,North America,0,11484,0,0,13646,0
PE,71.1078253,South America,115,11484,0.010016549,0,13646,0
PG,32.0541629,Oceania,0,11484,0,0,13646,0
PH,52.6757381,Asia,0,11484,0,0,13646,0
PK,21.0372074,Asia,0,11484,0,0,13646,0
PL,85.3749074,Europe,36,11484,0.003135615,33,13646,0.002418291
PT,82.309028,Europe,0,11484,0,33,13646,0.002418291
PY,77.0183862,South America,0,11484,0,0,13646,0
QA,100,Asia,0,11484,0,0,13646,0
RO,83.5904265,Europe,27,11484,0.002351712,33,13646,0.002418291
RS,81.165877,Europe,69,11484,0.006009929,33,13646,0.002418291
RU,88.2138457,Europe,240,11484,0.020904102,33,13646,0.002418291
RW,30.4618169,Africa,0,11484,0,0,13646,0
SA,100,Asia,0,11484,0,0,13646,0
SB,36.131954,Oceania,0,11484,0,0,13646,0
SC,81.5930719,Africa,0,11484,0,0,13646,0
SE,88.3077859,Europe,152,11484,0.013239265,33,13646,0.002418291
SG,91.0993779,Asia,0,11484,0,0,13646,0
SI,89.0039952,Europe,0,11484,0,33,13646,0.002418291
SK,88.9256052,Europe,263,11484,0.022907412,33,13646,0.002418291
SM,74.8623274,Europe,0,11484,0,33,13646,0.002418291
SN,58.0548191,Africa,0,11484,0,0,13646,0
SR,65.9398014,South America,0,11484,0,0,13646,0
ST,51.2040916,Africa,0,11484,0,0,13646,0
SV,62.8802872,North America,89,11484,0.007751938,0,13646,0
SZ,58.9129157,Eswatini,0,11484,0,0,13646,0
TD,17.8688792,Africa,0,11484,0,0,13646,0
TG,34.9840553,Africa,0,11484,0,0,13646,0
TH,85.27,Asia,183,11484,0.015939378,0,13646,0
TL,39.4513124,Asia,0,11484,0,0,13646,0
TN,78.9896515,Africa,0,11484,0,0,13646,0
TO,71.5865796,Oceania,0,11484,0,0,13646,0
TR,81.41,Asia,286,11484,0.024910722,0,13646,0
TT,79,North America,0,11484,0,0,13646,0
TV,71.5865796,Oceania,0,11484,0,0,13646,0
TZ,31.6331309,Africa,0,11484,0,0,13646,0
UA,79.2182935,Europe,0,11484,0,33,13646,0.002418291
UG,10.3424204,Africa,0,11484,0,0,13646,0
US,91.7532083,North America,2682,11484,0.233603345,6189,13646,0.453539499
UY,90.0738409,South America,0,11484,0,0,13646,0
UZ,76.5904301,Asia,0,11484,0,0,13646,0
VC,84.912814,North America,0,11484,0,0,13646,0
VN,74.2099999,Asia,0,11484,0,0,13646,0
VU,66.3356687,Oceania,0,11484,0,0,13646,0
WS,78.2457319,Oceania,0,11484,0,0,13646,0
ZA,72.310492,Africa,130,11484,0.011323055,6570,13646,0.481459768
ZM,21.2315313,Africa,0,11484,0,0,13646,0
ZW,34.8139707,Africa,0,11484,0,0,13646,0
