State,Internet_CN_2016,Ruggeri_CN_size,Ruggeri_CN
Guizhou,43.2,1,0.002583979
Hainan,51.6,1,0.002583979
Jiangxi,44.6,1,0.002583979
Shaanxi,52.4,1,0.002583979
Tianjin,64.6,1,0.002583979
Anhui,44.3,2,0.005167959
Chongqing,51.6,2,0.005167959
Hebei,53.3,2,0.005167959
Yunnan,39.9,2,0.005167959
Fujian,69.7,3,0.007751938
Shandong,52.9,4,0.010335917
Hubei,51.4,5,0.012919897
Hunan,44.4,8,0.020671835
Beijing,77.8,9,0.023255814
Guangdong,74,15,0.03875969
Jiangshu,56.6,15,0.03875969
Henan,43.4,22,0.056847545
sichuan,43.6,41,0.105943152
Shanghai,74.1,65,0.167958656
zhejiang,65.6,85,0.219638243
Guangxi,46.1,102,0.263565891
Gansu,42.4,0,0
Heilongjiang,48.1,0,0
Jilin,50.9,0,0
Liaoning,62.6,0,0
Neimenggu,52.2,0,0
Ningxia,50.7,0,0
Qinghai,54.5,0,0
Shanxi,55.5,0,0
Xinjiang,54.9,0,0
Xizang,46.1,0,0
