country_map,continent,lp1,lp2
AW,North America,2.237746716,1.677104115
AF,Asia,1.945866466,0.855147123
AO,Africa,2.529626608,1.310184479
AI,North America,0.291880161,0.17542778
AL,Europe,1.945866466,0.910201788
AD,Europe,1.99256742,1.241091728
AE,Asia,0,0.740553677
AR,South America,1.653986573,0.994091094
AM,Asia,1.945866466,0.648080111
AG,North America,0.291880161,0.17542778
AU,Oceania,0.291880161,0.17542778
AT,Europe,3.599853039,2.588921547
AZ,Asia,0,0.65670687
BI,Africa,0,0.48969382
BJ,Africa,0,0
BF,Africa,0,0
BD,Asia,1.945866466,0.885723591
BG,Europe,1.945866466,1.246608853
BH,Asia,0,0.740553677
BS,North America,0.291880161,0.17542778
BA,Europe,1.945866466,1.44628942
BY,Europe,1.945866466,1.301940322
BE,Europe,3.014147282,2.240689516
BZ,North America,1.202545524,0.953990996
BM,North America,0.291880161,0.17542778
BO,South America,0.893152773,0.798174739
BR,South America,2.529626608,1.310184479
BB,North America,0.291880161,0.17542778
BN,Asia,0,0.667968869
BT,Asia,0.875639915,0.49806118
CF,Africa,0,0
CA,North America,0.875640035,0.548786044
CH,Europe,3.245705366,2.284990072
CL,South America,1.653986573,0.994091094
CN,Asia,0,0.423398077
CI,Africa,0,0
CM,Africa,0,0
CD,Africa,0,0
CG,Africa,0,0
CK,Oceania,0,0
CO,South America,1.653986573,0.994091094
KM,Africa,0,0.594746172
CV,Africa,0.291880161,0.17542778
CR,North America,1.653986573,0.994091094
CU,North America,1.653986573,0.994091094
KY,North America,0.291880161,0.17542778
CY,Asia,1.537234545,0.840483963
CZ,Europe,1.945866466,1.248223543
DE,Europe,3.599853039,2.588921547
DJ,Africa,0,0
DM,North America,2.237746716,1.419954538
DK,Europe,3.599853039,2.769364119
DO,North America,1.653986573,0.994091094
DZ,Africa,0,0.740553677
EC,South America,1.653986573,0.994091094
EG,Africa,0,0.740553677
ER,Africa,0,0.631931067
ES,Europe,1.653986573,0.994091094
EE,Europe,0.330797315,0.687137902
FI,Europe,0,0.331816733
FJ,Oceania,0.972933233,0.7052387
FK,South America,0.291880161,0.17542778
FR,Europe,2.237746716,1.419954538
FM,Oceania,0,0
GA,Africa,0,0
GB,Europe,0.291880161,0.17542778
GE,Asia,0,0.246737778
GH,Africa,0,0
GI,Europe,0.84839797,0.651216567
GN,Africa,0,0
GM,Africa,0,0
GW,Africa,0,0
GR,Europe,1.945866466,0.88933605
GD,North America,0.291880161,0.17542778
GL,North America,3.599853039,2.769364119
GT,North America,1.653986573,0.994091094
GY,South America,0.291880161,0.17542778
HK,Asia,0,0.423398077
HN,North America,1.653986573,0.994091094
HR,Europe,1.945866466,1.475328088
HT,North America,2.237746716,1.152902842
HU,Europe,0,0.447408885
ID,Asia,0,0.605668187
IN,Asia,0,0
IE,Europe,0.291880161,0.17542778
IR,Asia,1.401023865,0.917003274
IQ,Asia,0,0.740553677
IS,Europe,3.599853039,2.769364119
IL,Asia,0.252962619,0.756817997
IT,Europe,2.237746716,1.752706528
JM,North America,0.291880161,0.17542778
JO,Asia,0,0.740553677
JP,Asia,0,0.54782933
KZ,Asia,0.797805309,0.895151198
KE,Africa,0,0.439292192
KG,Asia,0.525383949,0.753145635
KH,Asia,0,0.248522788
KI,Oceania,0,1.020269513
KN,North America,0.291880161,0.17542778
KR,Asia,0,0
KW,Asia,0,0.740553677
LA,Asia,0,0.428497791
LB,Asia,0,0.740553677
LR,Africa,0,0
LY,Africa,0,0.740553677
LC,North America,2.237746716,1.419954538
LK,Asia,1.945866466,0.868963122
LT,Europe,1.945866466,1.179760814
LU,Europe,3.014147282,2.240689516
LV,Europe,1.945866466,0.895948589
MA,Africa,0,0.740553677
MD,Europe,2.237746716,1.957499385
MG,Africa,0,0.849303663
MX,North America,1.653986573,0.994091094
MH,Oceania,0.291880161,0.17542778
MK,Europe,1.945866466,1.246608853
ML,Africa,0,0
MT,Europe,0,0.587564468
MP,Oceania,NA,NA
MZ,Africa,0,0
MR,Africa,0,0.740553677
MS,North America,0.291880161,0.17542778
MU,Africa,2.237746716,1.082442522
MW,Africa,0,0.318430543
MY,Asia,0,0.587260544
NC,Oceania,2.237746716,1.419954538
NE,Africa,0,0
NG,Africa,0,0
NI,North America,1.653986573,0.994091094
NU,Oceania,0,0.362967104
NL,Europe,3.599853039,2.859840155
NO,Europe,3.599853039,3.360413074
NP,Asia,1.945866466,0.634608448
NR,Oceania,0,0.912497044
NZ,Oceania,0.291880161,0.17542778
OM,Asia,0,0.740553677
PK,Asia,1.945866466,0.438612342
PA,North America,1.653986573,0.994091094
PE,South America,1.653986573,0.994091094
PH,Asia,0,0.408566475
PW,Oceania,0,0.788022816
PG,Oceania,0,0
PL,Europe,1.945866466,1.062001467
PT,Europe,2.529626608,1.310184479
PY,South America,0,0.619947255
QA,Asia,0,0.740553677
RO,Europe,2.237746716,1.957499385
RU,Europe,1.945866466,1.301940322
RW,Africa,0,0.48969382
SA,Asia,0,0.740553677
SD,Africa,0,0.740553677
SN,Africa,0,0.569460273
SG,Asia,0.070051216,0.363885194
SH,Africa,0.291880161,0.17542778
SB,Oceania,0,0
SL,Africa,0,0
SV,North America,1.653986573,0.994091094
SO,Africa,0,0.316645384
PM,North America,2.237746716,1.419954538
ST,Africa,2.529626608,1.310184479
SR,South America,2.012025833,1.571322322
SK,Europe,1.945866466,1.168838978
SI,Europe,1.945866466,1.301600099
SE,Europe,3.599853039,3.133818865
SC,Africa,2.237746716,0.871104777
SY,Asia,0,0.740553677
TC,North America,0.291880161,0.17542778
TD,Africa,0,0
TG,Africa,0,0
TH,Asia,0,0.60061115
TJ,Asia,1.945866466,1.018229604
TM,Asia,0,0.65670687
TO,Oceania,0,0.577067614
TT,North America,0.291880161,0.17542778
TN,Africa,0,0.740553677
TR,Asia,0,0.65670687
TV,Oceania,0,0.627171457
TW,Asia,0,0.423398077
TZ,Africa,0,0.439292192
UG,Africa,0,0
UA,Europe,1.945866466,0.957577825
UY,South America,1.653986573,0.994091094
UZ,Asia,0.311338663,0.855006754
VC,North America,0.291880161,0.17542778
VE,South America,1.653986573,0.994091094
VG,North America,0.291880161,0.17542778
VN,Asia,0,0.248947829
VU,Oceania,0,0
YE,Asia,0,0.740553677
ZA,Africa,0,0
ZM,Africa,0,0
ZW,Africa,0,0.532573044
